smiles,energy,homo,lumo,gap,n_atoms,source_id
BrC1=C2C3C4CCC(O4)C3(OC2=NC=C1)C#C,-3279.8616586220296,-6.645072760403928,-1.1090210760902632,5.536051684313665,27,2-2
BrC1=C2C3C4CNC(C4)(C#N)C3OC2=NC=C1,-3276.0889524037957,-6.806624551479116,-1.3362328077039933,5.470391743775123,27,2-3
