smiles,energy,homo,lumo,gap,n_atoms,source_id
BrC1=C2C3=C4C(CC3CCC2=O)C(=N)NC4=N1,-3276.090407971049,-6.356970636214328,-1.8505097350928208,4.506460901121507,27,1-0
BrC1=C2C3C4CCC(C4)C3C(=N)OC2=NC=C1,-3261.2736149295624,-6.875028278121218,-1.1322754980409215,5.742752780080297,30,1-1
BrC1=C2C3C4CCC(O4)C3(OC2=NC=C1)C#C,-3279.8616586220296,-6.645072760403928,-1.1090210760902632,5.536051684313665,27,2-2
BrC1=C2C3C4CNC(C4)(C#N)C3OC2=NC=C1,-3276.088952403796,-6.806624551479116,-1.336232807703993,5.470391743775123,27,2-3
