smiles,energy,homo,lumo,gap,n_atoms,source_id
BrC1=C2C3=C4C(CC3CCC2=O)C(=N)NC4=N1,-3276.0904079710494,-6.356970636214328,-1.8505097350928212,4.506460901121507,27,1-0
BrC1=C2C3C4CCC(C4)C3C(=N)OC2=NC=C1,-3261.2736149295624,-6.875028278121218,-1.1322754980409215,5.742752780080297,30,1-1
